step,total,pde,ic,bc,bc_left,bc_right,bc_left_rmse,bc_right_rmse,bc_monitor,data,rmse_data,grad_norm,elapsed_s,val_total,val_pde,val_ic,val_bc,val_bc_left,val_bc_right,val_bc_left_rmse,val_bc_right_rmse,val_data,val_rmse_data,gen_gap_rmse_data
1,1.5535216331481934,0.705129861831665,0.009786931797862053,0.672206461429596,0.0,0.672206461429596,0.0,0.8198819756507874,0.0,0.16639843583106995,0.40791964384063434,12.911510900410276,0.12200093269348145,0.7891435623168945,0.37634554505348206,0.025411086156964302,0.30756738781929016,0.0,0.30756738781929016,0.0,0.5545876026153564,0.07981953024864197,0.282523503887096,-0.12539613995353832
2,1.0270023345947266,0.5767839550971985,0.013810775242745876,0.35373541712760925,0.0,0.35373541712760925,0.0,0.5947566032409668,0.0,0.08267229795455933,0.28752790813164436,8.591421091905536,0.4448518753051758,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3,0.7167211174964905,0.44935351610183716,0.051500674337148666,0.17390400171279907,0.0,0.17390400171279907,0.0,0.41701799631118774,0.0,0.04196289926767349,0.20484847880243948,5.310043070898773,0.5598537921905518,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4,0.5741136074066162,0.3264524042606354,0.10660813748836517,0.106655053794384,0.0,0.106655053794384,0.0,0.32658085227012634,0.0,0.03439803794026375,0.18546708047592636,4.11048989240939,0.6708548069000244,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
5,0.5108981728553772,0.2162645012140274,0.15588712692260742,0.10221368074417114,0.0,0.10221368074417114,0.0,0.3197087347507477,0.0,0.03653290122747421,0.19113581879771832,4.588273856909889,0.7828562259674072,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6,0.46834397315979004,0.1278563290834427,0.18388798832893372,0.11312377452850342,0.0,0.11312377452850342,0.0,0.3363387882709503,0.0,0.043475862592458725,0.20850866311129312,5.032891018920568,0.9068574905395508,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7,0.4097193777561188,0.06465304642915726,0.18751467764377594,0.11708851903676987,0.0,0.11708851903676987,0.0,0.3421820104122162,0.0,0.04046310856938362,0.20115443959650411,4.825053769502028,1.0208587646484375,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8,0.34751665592193604,0.02554452046751976,0.1718793362379074,0.11293604969978333,0.0,0.11293604969978333,0.0,0.3360596001148224,0.0,0.03715677186846733,0.1927609189344856,4.026469074916004,1.1498596668243408,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9,0.29603254795074463,0.007322621066123247,0.14486859738826752,0.10880593955516815,0.0,0.10880593955516815,0.0,0.3298574388027191,0.0,0.0350353866815567,0.18717742033043597,2.812913808840475,1.2758619785308838,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10,0.2694868743419647,0.0057622152380645275,0.11428158730268478,0.11320091038942337,0.0,0.11320091038942337,0.0,0.3364534378051758,0.0,0.03624216467142105,0.19037374995366627,1.4685792596926042,1.3878631591796875,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
11,0.27167877554893494,0.015741802752017975,0.08649434894323349,0.12925469875335693,0.0,0.12925469875335693,0.0,0.3595201075077057,0.0,0.04018792510032654,0.20046926223320755,1.1876869672671089,1.507863998413086,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
12,0.2978002727031708,0.0314059816300869,0.06517378985881805,0.15255743265151978,0.0,0.15255743265151978,0.0,0.3905860185623169,0.0,0.04866306856274605,0.2205970728789166,2.1835451706751643,1.6268651485443115,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
13,0.3271208703517914,0.04710710793733597,0.05158599466085434,0.17306284606456757,0.0,0.17306284606456757,0.0,0.41600823402404785,0.0,0.0553649477660656,0.23529757280105038,3.0624798919791405,1.7458667755126953,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
14,0.34407585859298706,0.05882721021771431,0.04504114389419556,0.18171286582946777,0.0,0.18171286582946777,0.0,0.42627793550491333,0.0,0.058494627475738525,0.2418566258669349,3.458222539327946,1.8622214794158936,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
