timestamp,git_commit,seed,n_layers,n_neurons,activation,optimizer,epochs,lr,n_colloc,n_boundary,n_initial,n_data,loss_total,loss_pde,loss_ic,loss_bc,loss_data,val_rmse_data,val_pde_loss
2026-02-13 14:01:19,,42,1,30,tanh,adam+lbfgs,1500,0.001,50000,1001,51,40840,0.0023938927333801985,0.00023550877813249826,0.001665930263698101,0.0004595457867253572,3.29079084622208e-05,0.005736541507059877,0.00023550877813249826
2026-02-13 14:06:53,,42,1,30,tanh,adam+lbfgs,1500,0.001,50000,1001,51,40840,0.0023938927333801985,0.00023550877813249826,0.001665930263698101,0.0004595457867253572,3.29079084622208e-05,0.005736541507059877,0.00023550877813249826
2026-02-13 14:11:01,,42,1,30,tanh,adam+lbfgs,1500,0.001,50000,1001,51,40840,0.0023938927333801985,0.00023550877813249826,0.001665930263698101,0.0004595457867253572,3.29079084622208e-05,0.005736541507059877,0.00023550877813249826
2026-02-13 15:08:34,,42,1,30,tanh,adam+lbfgs,1500,0.001,50000,1001,51,40840,0.002568488009274006,0.0002369316789554432,0.001913762534968555,0.0003593573928810656,5.843659528181888e-05,0.007644383250584633,0.0002369316789554432
2026-02-13 15:08:35,,42,1,30,tanh,adam+lbfgs,1500,0.001,50000,1001,51,40840,0.002568488009274006,0.0002369316789554432,0.001913762534968555,0.0003593573928810656,5.843659528181888e-05,0.007644383250584633,0.0002369316789554432
2026-02-13 16:07:51,,42,1,20,tanh,adam+lbfgs,1500,0.001,50000,1001,51,40840,0.0029282853938639164,0.00022027464001439512,0.0022096356842666864,0.00043436954729259014,6.400550773832947e-05,0.00800034422623986,0.00022027464001439512
2026-02-16 13:47:01,8faf768,42,1,20,tanh,adam+lbfgs,1500,0.001,50000,1001,51,40840,0.0026664098259061575,0.0003772722266148776,0.0017678819131106138,0.000498046341817826,2.320914609299507e-05,0.0048175871650645895,0.0003772722266148776
2026-02-16 15:25:08,596ff96,42,1,20,tanh,adam+lbfgs,1500,0.001,50000,1001,51,40840,0.0010837962618097663,0.00017085329454857856,0.0005757460021413863,1.1563286079763202e-06,0.00033576044370420277,0.018323767181019374,0.00017085329454857856
2026-02-16 15:33:29,596ff96,42,1,20,tanh,adam+lbfgs,1500,0.001,50000,1001,51,40840,0.0010837962618097663,0.00017085329454857856,0.0005757460021413863,1.1563286079763202e-06,0.00033576044370420277,0.018323767181019374,0.00017085329454857856
2026-02-16 16:17:43,775133c,42,1,20,tanh,adam+lbfgs,1500,0.001,50000,1001,51,40840,0.002162038115784526,0.0003492595860734582,0.0014506279258057475,0.000325212866300717,3.693758844747208e-05,0.006077630167052951,0.0003492595860734582
2026-03-09 15:01:19,,42,1,20,tanh,adam+lbfgs,1500,0.001,50000,1001,51,40840,0.0020851597655564547,0.001230571884661913,0.00014826531696598977,0.0004317722050473094,0.0002745503734331578,0.016569561654828344,0.001230571884661913
2026-03-09 15:03:23,,42,1,20,tanh,adam+lbfgs,1500,0.001,50000,1001,51,40840,0.0020851597655564547,0.001230571884661913,0.00014826531696598977,0.0004317722050473094,0.0002745503734331578,0.016569561654828344,0.001230571884661913
2026-03-09 16:19:49,,42,1,20,tanh,adam+lbfgs,1500,0.001,50000,1001,51,40840,0.0026664098259061575,0.0003772722266148776,0.0017678819131106138,0.000498046341817826,2.320914609299507e-05,0.0048175871650645895,0.0003772722266148776
2026-03-09 16:33:42,,42,1,20,tanh,adam+lbfgs,1500,0.001,50000,1001,51,40840,0.08067990094423294,0.002985534258186817,0.0008324916707351804,0.0038016452454030514,0.07306022942066193,0.27029655828489924,0.002985534258186817
2026-03-15 14:14:28,ea9af4d,42,2,64,tanh,adam+lbfgs,1500,0.001,1500,1000,1000,78156,5.884074198547751e-05,2.5093911972362548e-05,2.3436399715137668e-05,0.0,1.0310432116966695e-05,0.0032109861595725846,2.5093911972362548e-05
2026-03-15 18:22:56,6c8907c,42,2,64,tanh,adam+lbfgs,1500,0.001,1500,1000,1000,78156,6.814628432039171e-05,2.2638399968855083e-05,3.069555896217935e-05,3.7446902751980815e-06,1.1067634659411851e-05,0.0033268054736356094,2.2638399968855083e-05
